input_bytes,n,build_s,add_s,inmem_add_s,result_limbs,throughput_gb_s,eager_add_s,eager_result_limbs,eager_throughput_gb_s
1073741824,67108864,0.083931011,1.79454533,0.045484852,67108865,0.557244212,1.9613175,67108865,0.509861355
4294967296,268435456,0.324879966,0.321526658,0.095551279,268435456,12.4406481,0.663648933,268435456,6.0272831
17179869184,1073741824,1.22327285,1.1441505,0.369047003,1073741824,13.9841743,2.58800328,1073741824,6.18237237
68719476736,4294967296,4.67865643,4.4024754,1.46133562,4294967296,14.537276,9.65744966,4294967296,6.6270084
274877906944,17179869184,18.5528305,16.0212348,,17179869185,15.9787934,37.6556318,17179869185,6.79845186
549755813888,34359738368,42.5926267,23.3382711,,34359738369,21.9382146,49.3482013,34359738369,10.3752515
1099511627776,68719476736,51.3285599,46.1837145,,68719476736,22.1723179,97.9909852,68719476736,10.4499409
2199023255552,137438953472,106.89853,93.281151,,137438953472,21.9551322,200.281761,137438953472,10.2255941
