input_bytes,n,build_s,sort_s,inmem_sort_s,throughput_gb_s
1073741824,134217728,0.095962858,0.816143066,0.148823404,1.22527537
4294967296,536870912,0.373605909,1.4249154,0.613686233,2.80718421
17179869184,2147483648,1.31641521,4.35994729,4.49147533,3.66976914
68719476736,8589934592,5.03697,15.393776,47.1796167,4.15752445
274877906944,34359738368,61.1085947,62.2568542,,4.11199704
549755813888,68719476736,46.6140159,125.822882,,4.06921213
1099511627776,137438953472,88.1725763,272.448053,,3.75851466
2199023255552,274877906944,172.242239,647.723849,,3.16184128
