input_bytes,n,build_s,fit_s,inmem_fit_s,offset,slope,throughput_gb_s
1073741824,67108864,0.089793007,0.071910027,0.016378412,1,1,13.9062665
4294967296,268435456,0.379127512,0.178715626,0.060422396,1,1,22.3819265
17179869184,1073741824,1.45487856,0.58016903,0.230485238,1,1,27.5781698
68719476736,4294967296,5.39376148,2.17595599,0.912921205,1,1,29.4123595
274877906944,17179869184,20.080172,8.58160035,3.63344081,1,1,29.8312657
549755813888,34359738368,44.3578645,17.0323896,,1,1,30.060374
1099511627776,68719476736,60.5222641,34.1822593,,1,1,29.9570602
2199023255552,137438953472,117.068235,67.906013,,1,1,30.1593322
