chunk_size_bytes,n,raw_s,eager_mr_s,delayed_mr_s,eager_mmr_s,delayed_mmr_s,eager_fmm_s,delayed_fmm_s,agree
262144,268435456,0.095792237,0.184151289,0.048091473,0.335441355,0.049548591,0.350297667,0.124640287,1
524288,268435456,0.097729673,0.206450015,0.046736289,0.372999075,0.046203511,0.336101394,1.21067698,1
1048576,268435456,0.100503182,0.275016934,0.056915641,0.522866659,0.057979254,0.764883226,1.493534,1
2097152,268435456,0.089730977,0.333619477,0.06913296,2.48424674,0.07117292,2.12390681,0.232325048,1
4194304,268435456,0.095508461,0.383666121,0.103869422,0.692504064,0.106818823,0.6082554,0.20090948,1
8388608,268435456,0.130487311,0.419571695,0.150454755,0.704362223,0.154736848,0.583218794,0.222649128,1
16777216,268435456,0.152788762,0.506024949,0.180332272,0.757535151,0.178384466,0.93374395,0.292552216,1
