n,raw_read_s,eager_mr_s,delayed_mr_s,inmem_mr_s,eager_mmr_s,delayed_mmr_s,inmem_mmr_s,eager_fmm_s,delayed_fmm_s,inmem_fmm_s,agree
1073741824,1.23569012,7.17471237,1.24700538,0.057320992,13.9159234,1.28279277,0.059235976,12.0637694,5.83108901,0.192995528,1
2147483648,2.36046934,14.1533219,2.37881917,0.118769435,25.5806737,2.36974389,0.119370913,23.0724355,12.2161265,0.395466587,1
4294967296,4.69735949,27.1321848,4.71228715,0.237689755,52.7060658,4.74653988,0.234181347,47.0391053,23.9103625,0.757743737,1
8589934592,9.43786577,59.613484,9.40231492,0.469408549,104.125817,9.3821413,0.459345875,96.0745833,49.1296351,1.52091951,1
