n,time_s,inmem_time_s,count,throughput_gb_s
268435456,0.109353992,0.029814663,14630843,0.996838551
1073741824,0.361389161,0.122585634,54400028,1.12153832
4294967296,1.3962352,0.459704467,203280221,1.08474251
17179869184,5.83428321,3.0034788,762939111,0.97429952
68719476736,20.1617219,,2874398515,1.06220778
274877906944,90.2591849,,10866266172,0.896972336
