n,m,build_s,search_s,inmem_search_s,count,throughput_gb_s
268435456,16,0.057774058,0.09888319,0.017545791,1,2.52823559
1073741824,16,0.179832515,0.303471912,0.066265436,1,3.29519788
4294967296,16,0.682778316,1.05817944,0.26454676,2,3.78007724
17179869184,16,2.59757258,4.0607757,1.06548999,6,3.9401339
68719476736,16,10.8455969,16.6581614,4.24940671,14,3.84196061
274877906944,16,45.6465642,29.2905424,,51,8.74002251
