n,m,build_s,search_s,inmem_search_s,count,throughput_gb_s
268435456,16,0.059276559,0.113401796,0.119773426,1,2.20455062
1073741824,16,0.18133693,0.337545609,0.406114031,1,2.96256261
4294967296,16,0.677800823,1.20409414,2.74914306,2,3.3219994
17179869184,16,2.55702942,4.72783443,10.9129081,6,3.38421327
68719476736,16,10.4209848,19.7244571,,14,3.24470274
274877906944,16,46.6946194,41.9443146,,51,6.10333016
