input_bytes,n,build_s,eager_op_s,delay_op_s,inmem_eager_op_s,inmem_delay_op_s,result,eager_gb_s,delay_gb_s
2147483648,268435456,0.15514292,0.481930424,0.12179084,0.150392494,0.10410736,0.08523423,192118579460650868,4.14997664
8589934592,1073741824,0.65509822,1.66981349,0.456345877,0.891177118,0.761688687,0.704221893,768538090552282536,4.79095422
34359738368,4294967296,2.21444934,5.95526118,1.6151372,4.51343772,2.84390215,2.61200274,3074353405254354408,5.37339993
137438953472,17179869184,9.16760153,22.5013897,6.25835166,,,,12297263496067383016,5.68853753
549755813888,68719476736,38.9019905,42.7834998,25.1825245,,,,12295705144142742268,11.9672304
