input_bytes,n,build_s,fit_s,inmem_fit_s,offset,slope,throughput_gb_s
1073741824,67108864,0.115826582,0.096706667,0.016346639,1,1,10.3405487
4294967296,268435456,0.457462132,0.380646616,0.059349183,1,1,10.5084344
17179869184,1073741824,1.61937038,1.56545004,0.229454666,1,1,10.2207031
68719476736,4294967296,6.0450434,6.26031093,0.909721741,1,1,10.2231344
