input_bytes,n,build_s,hull_s,inmem_hull_s,count,throughput_gb_s
1073741824,33554432,0.096927764,0.193258951,0.027227807,24,5.17440457
4294967296,134217728,0.432602435,1.167731,0.11198807,30,3.42544643
17179869184,536870912,1.56332803,4.13873493,0.699143952,29,3.86591562
68719476736,2147483648,5.61195626,12.9048946,,30,4.95935859
