input_bytes,n,m,build_s,search_s,inmem_search_s,count,throughput_gb_s
1073741824,1073741824,16,0.145359592,0.151594127,0.127520007,1,6.59656162
4294967296,4294967296,16,0.532394089,0.419054722,0.382577194,2,9.54529275
17179869184,17179869184,16,1.82331084,1.42344306,1.36627263,6,11.2403513
68719476736,68719476736,16,6.59873236,5.49566844,5.33287101,14,11.6455352
