input_bytes,n,build_s,add_s,inmem_add_s,result_limbs,throughput_gb_s
1073741824,67108864,0.085220503,0.139975293,0.039233091,67108865,7.14411793
4294967296,268435456,0.383194943,0.517925112,0.094781714,268435456,7.72312427
17179869184,1073741824,1.58530148,1.95903863,0.366481169,1073741824,8.16727129
68719476736,4294967296,5.64648819,7.04592708,1.45206771,4294967296,9.08326175
