input_bytes,n,build_s,sort_s,inmem_sort_s,throughput_gb_s
1073741824,134217728,0.095196048,0.978034183,0.150198797,1.02245915
4294967296,536870912,0.433565708,2.13018957,0.605947597,1.87776715
17179869184,2147483648,1.47744725,7.35586205,4.33418499,2.17513595
68719476736,8589934592,5.6121763,27.1231536,46.9105542,2.35960762
