input_bytes,n,m,build_s,search_s,inmem_search_s,count,throughput_gb_s
1073741824,1073741824,16,0.140232751,0.131023826,0.071505895,1,7.63219966
4294967296,4294967296,16,0.581049308,0.330196806,0.272787915,2,12.1139876
17179869184,17179869184,16,1.92158043,1.09655176,1.07415653,6,14.5911945
68719476736,68719476736,16,6.76952568,4.16822204,4.28865462,14,15.3542684
