input_bytes,n,build_s,hull_s,inmem_hull_s,count,throughput_gb_s
1073741824,33554432,0.091526274,0.180932901,0.027024759,24,5.52691077
4294967296,134217728,0.378246188,1.05554614,0.112440538,30,3.78950747
17179869184,536870912,1.23188061,1.9764728,0.69413299,29,8.09522903
68719476736,2147483648,4.6995566,5.84894274,,30,10.9421485
274877906944,8589934592,19.4970057,27.1915326,,30,9.41469551
