input_bytes,n,time_s,inmem_time_s,count,throughput_gb_s
1073741824,1073741824,0.308575274,0.127865902,54400028,1.31349407
4294967296,4294967296,1.07786141,0.471941252,203280221,1.4051488
17179869184,17179869184,4.07746536,3.02671789,762939111,1.39408648
68719476736,68719476736,15.8609542,,2874398515,1.3502301
274877906944,274877906944,65.1750087,,10866266172,1.2421938
