input_bytes,n,m,build_s,search_s,inmem_search_s,count,throughput_gb_s
1073741824,1073741824,16,0.127588156,0.138279365,0.069607477,1,7.231737
4294967296,4294967296,16,0.466868554,0.336370272,0.267219138,2,11.8916573
17179869184,17179869184,16,1.73431279,1.06447944,1.06351559,6,15.030821
68719476736,68719476736,16,5.06106797,3.98394414,4.24881697,14,16.0644823
274877906944,274877906944,16,21.1542954,15.8418146,,51,16.159765
