input_bytes,n,build_s,add_s,inmem_add_s,result_limbs,throughput_gb_s
1073741824,67108864,0.070581808,0.102545744,0.042360723,67108865,9.75174552
4294967296,268435456,0.335767574,0.323028856,0.096309656,268435456,12.3827947
17179869184,1073741824,1.22484549,1.15355268,0.367148507,1073741824,13.8701945
68719476736,4294967296,4.6440631,4.32201456,1.45721888,4294967296,14.8079094
274877906944,17179869184,20.9264536,16.7948537,,17179869185,15.2427645
