input_bytes,n,m,build_s,search_s,inmem_search_s,count,throughput_gb_s
1073741824,1073741824,16,0.133026278,0.169130124,0.12929162,1,5.91260727
4294967296,4294967296,16,0.50695134,0.429287514,0.377927627,2,9.3177646
17179869184,17179869184,16,1.45669599,1.4518069,1.39607558,6,11.0207494
68719476736,68719476736,16,5.62174453,5.56336643,5.43194597,14,11.5038261
274877906944,274877906944,16,21.9618641,22.0442887,,51,11.6129853
