input_bytes,n,build_s,sort_s,inmem_sort_s,throughput_gb_s
1073741824,134217728,0.096437094,0.753515836,0.154233462,1.32711212
4294967296,536870912,0.373787121,1.31862364,0.629984747,3.033466
17179869184,2147483648,1.27352321,4.1613895,4.436871,3.8448696
68719476736,8589934592,4.80915761,14.9305175,47.394917,4.28652254
274877906944,34359738368,20.0174557,56.3879287,,4.53997878
