input_bytes,n,build_s,hull_s,inmem_hull_s,count,throughput_gb_s
1073741824,33554432,0.08844522,0.184518836,0.028357666,24,5.41950091
4294967296,134217728,0.37520291,1.07098489,0.11239239,30,3.73487997
17179869184,536870912,1.17901451,1.96800244,0.694705219,29,8.13007124
68719476736,2147483648,4.45280139,5.8643114,,30,10.9134723
274877906944,8589934592,20.0444382,22.7541569,,30,11.2506915
