input_bytes,n,time_s,inmem_time_s,count,throughput_gb_s
1073741824,1073741824,0.198400137,0.130895586,54400028,2.04290077
4294967296,4294967296,0.590063137,0.468598268,203280221,2.56676883
17179869184,17179869184,2.26396223,3.06489897,762939111,2.51079248
68719476736,68719476736,8.96680445,,2874398515,2.38835785
274877906944,274877906944,38.5713487,,10866266172,2.0989671
