input_bytes,n,build_s,fit_s,inmem_fit_s,offset,slope,throughput_gb_s
1073741824,67108864,0.085529001,0.069969716,0.017297405,1,1,14.2918974
4294967296,268435456,0.337045298,0.172616211,0.060417609,1,1,23.1727946
17179869184,1073741824,1.39423777,0.574846951,0.230860516,1,1,27.8334955
68719476736,4294967296,5.46559485,2.18072747,0.913917772,1,1,29.3480046
274877906944,17179869184,21.3693848,8.57805893,,1,1,29.8435814
