input_bytes,n,time_s,inmem_time_s,count,throughput_gb_s
1073741824,1073741824,0.195704929,0.131271142,54400028,2.07103518
4294967296,4294967296,0.57181854,0.470186791,203280221,2.64866485
17179869184,17179869184,2.18089981,3.11517881,762939111,2.60641929
68719476736,68719476736,8.46689547,,2874398515,2.52937312
274877906944,274877906944,37.0225206,,10866266172,2.18677687
