input_bytes,n,m,build_s,search_s,inmem_search_s,count,throughput_gb_s
1073741824,1073741824,16,0.142114215,0.129036514,0.06497437,1,7.74974439
4294967296,4294967296,16,0.539019801,0.334811534,0.258290781,2,11.9470197
17179869184,17179869184,16,1.53613056,1.07744223,1.03853374,6,14.8499841
68719476736,68719476736,16,6.34621774,4.11845834,4.15487658,14,15.5397954
274877906944,274877906944,16,21.2054639,16.361686,,51,15.6463093
