input_bytes,n,build_s,hull_s,inmem_hull_s,count,throughput_gb_s
1073741824,33554432,0.086156643,1.63894275,0.028447958,24,0.610149438
4294967296,134217728,0.384691208,1.0536986,0.112231522,30,3.79615194
17179869184,536870912,1.23678504,2.02313711,0.698445677,29,7.90850997
68719476736,2147483648,5.30345721,5.85898,,30,10.9234031
274877906944,8589934592,19.6051109,22.8177974,,30,11.2193125
