input_bytes,n,time_s,inmem_time_s,count,throughput_gb_s
1073741824,1073741824,0.190026144,0.126415837,54400028,2.13292647
4294967296,4294967296,0.604771334,0.460033999,203280221,2.50434434
17179869184,17179869184,2.17168352,3.09511178,762939111,2.61748053
68719476736,68719476736,8.58360352,12.1100938,2874398515,2.49498218
274877906944,274877906944,36.7632373,,10866266172,2.20219975
549755813888,549755813888,78.6399924,,21151907950,2.00399301
1099511627776,1099511627776,168.125417,,41203088796,1.82594006
2199023255552,2199023255552,350.678832,,80316571436,1.70641919
