input_bytes,n,build_s,scan_s,inmem_scan_s,total,throughput_gb_s
1073741824,134217728,0.099237515,0.159459684,0.040705994,7022854428737152249,6.27117761
4294967296,536870912,0.370575316,0.503684729,0.127784833,1393967331421366126,7.94147563
17179869184,2147483648,1.21857611,2.8737813,0.498997333,10496430349199327790,5.56757747
68719476736,8589934592,5.10434279,7.0737953,1.98140072,9250513228717928406,9.04747696
274877906944,34359738368,20.4867548,30.2767436,,7135367015930981336,8.45533468
549755813888,68719476736,43.1587752,30.6535871,,4591079050228207420,16.702776
1099511627776,137438953472,83.7582187,59.3960467,,9657259382465790637,17.2402046
2199023255552,274877906944,169.411985,118.939872,,4986271090213427363,17.2187843
