input_bytes,n,m,build_s,search_s,inmem_search_s,count,throughput_gb_s
1073741824,1073741824,16,0.139315228,0.140844971,0.069603351,1,7.10000501
4294967296,4294967296,16,0.52162284,0.344763313,0.269213373,2,11.6021626
17179869184,17179869184,16,1.43721899,1.07339824,1.07430562,6,14.905931
68719476736,68719476736,16,5.24557903,4.06763822,4.26546518,14,15.733946
274877906944,274877906944,16,23.7790444,16.0781866,17.0593229,51,15.9221936
549755813888,549755813888,16,59.3755762,32.2409507,,99,15.880425
1099511627776,1099511627776,16,94.795211,64.5650571,,209,15.859972
2199023255552,2199023255552,16,209.461704,129.948436,,453,15.7600973
