input_bytes,case,n,m,build_s,op_s,inmem_op_s,reachable,throughput_gb_s,fast_op_s,fast_reachable,fast_throughput_gb_s
1073741824,sparse,16777216,33546118,1.50867291,,0.665256484,,,1.00803207,7706362,19.8357225
4294967296,sparse,67108864,134201278,3.4433182,,2.85136204,,,3.48515895,29749094,22.9516634
17179869184,sparse,268435456,536839076,10.4284821,,12.2193443,,,14.1335565,114898837,22.6398094
68719476736,sparse,1073741824,2147422320,49.0861707,,78.7659714,,,86.0875682,443979859,16.3549723
274877906944,sparse,4294967296,8589817764,149.979094,,,,,361.064792,1716445402,15.5980963
