input_bytes,n,build_s,reverse_s,inmem_reverse_s,throughput_gb_s
1073741824,134217728,1.39478734,1.57389615,0.01676305,0.635365934
4294967296,536870912,10.074437,15.2831757,0.060147876,0.26172571
17179869184,2147483648,53.8146285,64.9080062,0.235623894,0.246502719
68719476736,8589934592,254.86258,265.544754,0.942924308,0.241013987
