n,map_s,chunkmap_s,reduce_s,chunkreduce_s
1073741824,0.322880730,0.828519635,0.144007806,0.207218857
2147483648,0.601483241,1.047787390,0.261786053,0.350380842
4294967296,1.152969143,1.597442948,0.511874543,0.606453746
8589934592,2.764359902,2.647378422,0.978958660,1.128688933
17179869184,3.964629753,5.335569024,1.583466794,2.183707565
34359738368,12.548148856,13.493260945,2.628053948,4.281260697
68719476736,33.633790421,18.844007146,4.715995174,8.509386237
