input_bytes,n,time_s,inmem_time_s,count,throughput_gb_s
1073741824,1073741824,0.202343698,0.126799452,54400028,2.00308582
4294967296,4294967296,0.638194011,0.469589681,203280221,2.37319004
17179869184,17179869184,2.25398168,3.20371265,762939111,2.52191018
68719476736,68719476736,8.85219163,,2874398515,2.41928086
274877906944,274877906944,38.3244074,,10866266172,2.11249168
549755813888,549755813888,81.0347531,,21151907950,1.94477047
