input_bytes,case,n,m,build_s,op_s,inmem_op_s,reachable,throughput_gb_s,fast_op_s,fast_reachable,fast_throughput_gb_s
131072,dense,4096,3297894,0.124262616,,0.00659568,,,0.033335743,4096,2.94833387
262144,dense,8192,12534190,0.391174946,,0.01766928,,,0.067556217,8192,5.52943886
524288,dense,16384,47637940,1.13641128,,0.047990228,,,0.136063582,16384,10.4342486
1048576,dense,32768,181134754,4.09859752,,0.164511908,,,0.402347354,32768,13.4168556
2097152,dense,65536,689066718,17.1849031,,0.586393781,,,1.37777451,65536,14.9050431
4194304,dense,131072,2622363390,72.2593268,,,,,5.1844962,131072,15.0742746
