input_bytes,n,build_s,add_s,inmem_add_s,result_limbs,throughput_gb_s
1073741824,67108864,0.066733716,0.225486363,0.042653753,67108865,4.434858
4294967296,268435456,0.296115352,0.500824685,0.09574296,268435456,7.98682677
17179869184,1073741824,1.26065568,1.44927675,0.370258064,1073741824,11.0399894
68719476736,4294967296,4.66655732,4.88653168,1.46639019,4294967296,13.097224
274877906944,17179869184,18.3994875,17.7435698,,17179869185,14.4277619
