input_bytes,n,m,build_s,search_s,inmem_search_s,count,throughput_gb_s
1073741824,1073741824,16,0.13772421,0.220030074,0.068139948,1,4.54483327
4294967296,4294967296,16,0.473104942,0.779726924,0.270349568,2,5.13000113
17179869184,17179869184,16,1.75813701,2.86307838,1.08365296,6,5.58839049
68719476736,68719476736,16,5.22209052,11.4288619,4.34242539,14,5.59985767
274877906944,274877906944,16,21.8658314,48.5390786,,51,5.27410094
