input_bytes,n,time_s,inmem_time_s,count,throughput_gb_s
1073741824,1073741824,0.310320032,0.126941338,54400028,1.30610902
4294967296,4294967296,1.07099697,0.470819937,203280221,1.41415495
17179869184,17179869184,4.10653415,3.05972064,762939111,1.38421821
68719476736,68719476736,16.0445668,,2874398515,1.33477819
274877906944,274877906944,65.8532769,,10866266172,1.22939959
