input_bytes,n,time_s,inmem_time_s,count,throughput_gb_s
1073741824,1073741824,0.206652333,0.12820435,54400028,1.96132213
4294967296,4294967296,0.575332705,0.478805001,203280221,2.63248666
17179869184,17179869184,2.22665798,3.09913721,762939111,2.55285697
68719476736,68719476736,8.7286166,,2874398515,2.45353173
137438953472,137438953472,17.944226,,5586502348,2.31955872
