input_bytes,n,build_s,add_s,inmem_add_s,result_limbs,throughput_gb_s
1073741824,67108864,0.095588556,0.151312272,0.042330134,67108865,6.60884928
4294967296,268435456,0.40526292,0.53189763,0.095767834,268435456,7.52024407
17179869184,1073741824,1.44649145,1.82831162,0.367739071,1073741824,8.75124339
68719476736,4294967296,5.05913528,6.28013647,1.45703685,4294967296,10.1908613
137438953472,8589934592,10.0667144,12.9918114,,8589934592,9.85235977
