input_bytes,n,build_s,fit_s,inmem_fit_s,offset,slope,throughput_gb_s
1073741824,67108864,0.115246081,0.104521307,0.017339609,1,1,9.56742724
4294967296,268435456,0.430093412,0.369475634,0.059761697,1,1,10.8261537
17179869184,1073741824,1.53621087,1.60786527,0.231767624,1,1,9.95108254
68719476736,4294967296,5.82844719,6.23430667,0.911762193,1,1,10.2657767
137438953472,8589934592,10.6650369,14.0910607,1.81790968,1,1,9.08377321
