input_bytes,n,build_s,hull_s,inmem_hull_s,count,throughput_gb_s
1073741824,33554432,0.090894362,0.196245331,0.029566851,24,5.09566263
4294967296,134217728,0.335030467,1.83002609,0.111900218,30,2.18576119
17179869184,536870912,1.19621026,14.3407876,0.685334167,29,1.11569884
68719476736,2147483648,4.53222023,44.4080863,,30,1.44117897
274877906944,8589934592,20.6775499,157.282953,,30,1.62763984
1099511627776,34359738368,83.7453471,177.949152,,33,5.75445283
