input_bytes,n,peter_sort_s,direct_sort_s,prim_sort_s,inmem_sort_s,peter_build_s,direct_build_s,prim_build_s,peter_gb_s,direct_gb_s,prim_gb_s
2147483648,268435456,0.842602297,0.809401126,0.785518294,0.390792071,0.085372379,0.090231723,0.073522461,2.37359904,2.47096271,2.54608965
8589934592,1073741824,2.36371479,2.28897057,2.07564645,1.51660401,0.315373763,0.297444894,0.310211225,3.38450309,3.4950209,3.85422093
34359738368,4294967296,8.44989205,8.22360798,7.65781004,7.52075829,1.32978213,2.45908976,2.35902559,3.78703063,3.89123607,4.17874037
137438953472,17179869184,32.1826295,31.8926731,26.861688,33.6892352,5.49398193,9.82664435,9.69605347,3.97730085,4.01346101,4.76515103
549755813888,68719476736,141.490383,141.998176,113.643721,,22.6348331,29.8974302,12.8059544,3.6186205,3.60568011,4.50530832
2199023255552,274877906944,806.396926,798.726317,582.379382,,88.499007,50.9361467,49.6887113,2.53969222,2.56408228,3.51660801
