input_bytes,case,n,m,build_s,op_s,inmem_op_s,reachable,throughput_gb_s,fast_op_s,fast_reachable,fast_throughput_gb_s
67108864,sparse,1048576,2094728,0.091208427,,0.059246044,,,0.174396791,517472,0.357963921
268435456,sparse,4194304,8384090,0.274288909,,0.174069572,,,0.363584837,1997300,0.6872271
1073741824,sparse,16777216,33546118,0.923732675,,0.677593817,,,1.04973089,7706362,0.952389063
4294967296,sparse,67108864,134201278,3.24846905,,2.88263457,,,3.53973177,29749094,1.12989063
17179869184,sparse,268435456,536839076,9.16724293,,12.3976934,,,14.253759,114898837,1.12244435
68719476736,sparse,1073741824,2147422320,43.7867166,,,,,75.4357742,443979859,0.848379605
