example,policy,input_bytes,n,build_s,add_s,inmem_add_s,result_limbs,throughput_gb_s,eager_add_s,eager_result_limbs,eager_throughput_gb_s
bigint_add,random,1099511627776,68719476736,51.7398248,46.1048026,,68719476736,22.2102675,97.1954962,68719476736,10.5354676
bigint_add,random,2199023255552,137438953472,106.870897,92.0823094,,137438953472,22.2409713,195.257814,137438953472,10.4886968
bigint_add,random,4398046511104,274877906944,223.22835,185.078777,,274877906944,22.1311166,385.598534,274877906944,10.622447
bigint_add,round_robin,1099511627776,68719476736,49.7894422,45.8526039,,68719476736,22.3324285,96.664396,68719476736,10.5933523
bigint_add,round_robin,2199023255552,137438953472,107.237031,91.5437066,,137438953472,22.3718274,193.763504,137438953472,10.5695859
bigint_add,round_robin,4398046511104,274877906944,219.738903,184.25133,,274877906944,22.2305044,388.217594,274877906944,10.5507841
