input_bytes,n,build_s,sort_s,inmem_sort_s,throughput_gb_s
1073741824,134217728,0.034767655,0.939475817,0.14912305,1.06442335
4294967296,536870912,0.103355051,2.09403882,0.614623557,1.91018426
17179869184,2147483648,0.424768187,7.04076033,4.32284549,2.27248184
68719476736,8589934592,1.72753131,25.5338724,47.5983544,2.50647449
