input_bytes,n,build_s,hull_s,inmem_hull_s,count,throughput_gb_s
1073741824,33554432,0.040296654,0.148738387,0.027293334,24,6.72321396
4294967296,134217728,0.118467079,1.05507942,0.112193269,30,3.79118381
17179869184,536870912,0.412020099,1.76161639,0.699408618,29,9.08256763
68719476736,2147483648,1.70211062,5.02977494,,30,12.7242274
