input_bytes,n,time_s,inmem_time_s,count,throughput_gb_s
1073741824,1073741824,0.160786089,0.122261537,54400028,2.52081381
4294967296,4294967296,0.479326091,0.475207099,203280221,3.15976054
17179869184,17179869184,1.78784609,3.11192245,762939111,3.17943439
68719476736,68719476736,7.34525544,,2874398515,2.91561512
137438953472,137438953472,14.9118845,,5586502348,2.79124251
