input_bytes,n,build_s,add_s,inmem_add_s,result_limbs,throughput_gb_s
1073741824,67108864,0.043049095,0.0390036,0.043050528,67108865,25.638659
4294967296,268435456,0.108692641,0.108393965,0.099256336,268435456,36.9024235
17179869184,1073741824,0.423259282,0.441245383,0.3660687,1073741824,36.2610026
68719476736,4294967296,1.67910969,1.72268333,1.45639257,4294967296,37.1513434
137438953472,8589934592,3.35595105,3.44628257,,8589934592,37.1414699
