n,m,build_s,search_s,inmem_search_s,count,throughput_gb_s
4294967296,16,0.472442909,0.965691486,2.86680869,2,4.14210963
17179869184,16,1.69109152,3.56537325,11.3187775,6,4.4876087
68719476736,16,5.01772552,14.0545316,,14,4.55369142
274877906944,16,21.7132284,59.3165406,,51,4.31582822
1099511627776,16,101.194853,238.075716,,209,4.30115267
