example,policy,input_bytes,n,build_s,add_s,inmem_add_s,result_limbs,throughput_gb_s,eager_add_s,eager_result_limbs,eager_throughput_gb_s
bigint_add,random,137438953472,8589934592,10.2165982,8.4655491,,8589934592,15.120106,19.4205295,8589934592,6.59096344
bigint_add,random,274877906944,17179869184,20.759701,17.0573311,,17179869185,15.0082096,38.0852581,17179869185,6.72176093
bigint_add,random,549755813888,34359738368,38.7600873,23.2804812,,34359738369,21.9926726,48.1077202,34359738369,10.6427825
bigint_add,round_robin,137438953472,8589934592,10.2074468,8.65403053,,8589934592,14.790796,18.2756401,8589934592,7.00385864
bigint_add,round_robin,274877906944,17179869184,21.829739,16.6112392,,17179869185,15.4112524,39.4726631,17179869185,6.4855011
bigint_add,round_robin,549755813888,34359738368,41.5013437,23.1136415,,34359738369,22.1514208,48.4338599,34359738369,10.571117
bigint_add,blocked,137438953472,8589934592,11.4637489,9.32632857,,8589934592,13.7245862,22.8668522,8589934592,5.59762221
bigint_add,blocked,274877906944,17179869184,25.631193,20.5566157,,17179869185,12.4534118,44.4979956,17179869185,5.75306813
bigint_add,blocked,549755813888,34359738368,49.8336254,44.9080589,,34359738369,11.4010717,93.4876011,34359738369,5.47666208
