input_bytes,n,build_s,add_s,inmem_add_s,result_limbs,throughput_gb_s
1073741824,67108864,0.082201179,0.09884816,0.041591674,67108865,10.1165262
4294967296,268435456,0.323969478,0.32349549,0.096594896,268435456,12.3649328
17179869184,1073741824,1.22578609,1.14595672,0.368742892,1073741824,13.9621328
68719476736,4294967296,4.71021302,4.78256945,1.46030115,4294967296,13.381928
274877906944,17179869184,20.2144118,17.3538894,,17179869185,14.7517363
1099511627776,68719476736,54.4396498,46.5830628,,68719476736,21.9822386
