input_bytes,n,build_s,fit_s,inmem_fit_s,offset,slope,throughput_gb_s
1073741824,67108864,0.094028322,0.07516647,0.01784584,1,1,13.3038042
4294967296,268435456,0.362772503,0.170983877,0.06056583,1,1,23.3940186
17179869184,1073741824,1.42315218,0.580264659,0.230474953,1,1,27.5736248
68719476736,4294967296,4.80723286,2.17027063,0.912831542,1,1,29.4894098
274877906944,17179869184,18.9888855,8.59257791,,1,1,29.7931544
1099511627776,68719476736,60.2131783,33.9881043,,1,1,30.1281881
