input_bytes,n,build_s,sort_s,inmem_sort_s,throughput_gb_s
1073741824,134217728,0.093421885,0.859493501,0.151315638,1.16347593
4294967296,536870912,0.353596429,2.19206895,0.625665381,1.82476012
17179869184,2147483648,1.34922773,4.30239385,4.52021428,3.71885991
68719476736,8589934592,5.15916053,14.4978452,46.9626175,4.41444911
274877906944,34359738368,20.8339347,56.8974067,,4.49932633
1099511627776,137438953472,82.5846698,253.16346,,4.04481752
