input_bytes,n,time_s,inmem_time_s,count,throughput_gb_s
1073741824,1073741824,0.194247911,0.129818056,54400028,2.08656964
4294967296,4294967296,0.565531507,0.468114737,203280221,2.67811015
17179869184,17179869184,2.15712855,3.07391689,762939111,2.63514168
68719476736,68719476736,8.51225304,,2874398515,2.51589535
274877906944,274877906944,36.8592215,,10866266172,2.19646506
1099511627776,1099511627776,166.683174,,41203088796,1.84173919
