input_bytes,n,build_s,stage1_s,stage2_s,total_s,inmem_s,count,throughput_gb_s
1073741824,67108864,0.093142908,0.904749288,0.276151713,1.180901,0.192123981,67108864,3.38724414
4294967296,268435456,0.349130169,0.430433155,0.998045415,1.42847857,0.599324089,268435456,11.2007281
17179869184,1073741824,1.18479737,1.45316128,3.77703898,5.23020026,3.12502494,1073741824,12.2366251
68719476736,4294967296,5.10172467,6.33125439,14.7930607,21.124315,14.0312432,4294967296,12.1187361
274877906944,17179869184,19.8351045,25.7179877,56.049295,81.7672826,,17179869184,12.5233463
