input_bytes,n,build_s,stage1_s,stage2_s,total_s,inmem_s,count,throughput_gb_s
1073741824,67108864,0.096120136,1.81781967,0.342051871,2.15987154,0.183551232,67108864,1.85196199
4294967296,268435456,0.34638525,1.92498707,1.03581115,2.96079822,0.63895954,268435456,5.40394813
17179869184,1073741824,1.19887434,1.79982543,3.8904624,5.69028783,3.3180086,1073741824,11.2472342
68719476736,4294967296,4.56721805,6.53585043,15.2558686,21.7917191,15.3022786,4294967296,11.7475817
274877906944,17179869184,19.4324777,28.7195275,67.3422125,96.06174,,17179869184,10.6598111
1099511627776,68719476736,91.7159956,136.654218,374.580571,511.234788,,68719476736,8.01197433
